State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,ANANTAPUR,Arecanut,2001-02,Whole Year,257,Hectare,430,Tonnes,1.673151751
Andhra Pradesh,ANANTAPUR,Arecanut,2002-03,Whole Year,263,Hectare,379,Tonnes,1.441064639
Andhra Pradesh,ANANTAPUR,Arecanut,2003-04,Whole Year,266,Hectare,189,Tonnes,0.710526316
Andhra Pradesh,EAST GODAVARI,Arecanut,2001-02,Whole Year,7,Hectare,12,Tonnes,1.714285714
Andhra Pradesh,EAST GODAVARI,Arecanut,2002-03,Whole Year,7,Hectare,10,Tonnes,1.428571429
Andhra Pradesh,EAST GODAVARI,Arecanut,2003-04,Whole Year,6,Hectare,4,Tonnes,0.666666667
Andhra Pradesh,KRISHNA,Arecanut,2001-02,Whole Year,4,Hectare,7,Tonnes,1.75
Andhra Pradesh,KRISHNA,Arecanut,2002-03,Whole Year,18,Hectare,26,Tonnes,1.444444444
Andhra Pradesh,KRISHNA,Arecanut,2003-04,Whole Year,18,Hectare,13,Tonnes,0.722222222
Andhra Pradesh,VIZIANAGARAM,Arecanut,2002-03,Whole Year,8,Hectare,12,Tonnes,1.5
Andhra Pradesh,VIZIANAGARAM,Arecanut,2003-04,Whole Year,12,Hectare,9,Tonnes,0.75
Andhra Pradesh,WEST GODAVARI,Arecanut,2003-04,Whole Year,9,Hectare,6,Tonnes,0.666666667
Andhra Pradesh,ADILABAD,Arhar/Tur,2001-02,Kharif,38438,Hectare,18027,Tonnes,0.468989021
Andhra Pradesh,ADILABAD,Arhar/Tur,2001-02,Rabi,652,Hectare,306,Tonnes,0.469325153
Andhra Pradesh,ADILABAD,Arhar/Tur,2002-03,Kharif,40771,Hectare,9989,Tonnes,0.245002575
Andhra Pradesh,ADILABAD,Arhar/Tur,2002-03,Rabi,945,Hectare,232,Tonnes,0.245502646
Andhra Pradesh,ADILABAD,Arhar/Tur,2003-04,Kharif,38393,Hectare,13284,Tonnes,0.346000573
Andhra Pradesh,ADILABAD,Arhar/Tur,2003-04,Rabi,1351,Hectare,467,Tonnes,0.345669874
Andhra Pradesh,ANANTAPUR,Arhar/Tur,2001-02,Kharif,27942,Hectare,7628,Tonnes,0.272994059
Andhra Pradesh,ANANTAPUR,Arhar/Tur,2001-02,Rabi,5,Hectare,1,Tonnes,0.2
Andhra Pradesh,ANANTAPUR,Arhar/Tur,2002-03,Kharif,33454,Hectare,6557,Tonnes,0.196000478
Andhra Pradesh,ANANTAPUR,Arhar/Tur,2003-04,Kharif,41178,Hectare,6959,Tonnes,0.168998009
Andhra Pradesh,CHITTOOR,Arhar/Tur,2001-02,Kharif,5403,Hectare,924,Tonnes,0.171016102
Andhra Pradesh,CHITTOOR,Arhar/Tur,2002-03,Kharif,4113,Hectare,440,Tonnes,0.106977875
Andhra Pradesh,CHITTOOR,Arhar/Tur,2002-03,Rabi,17,Hectare,2,Tonnes,0.117647059
Andhra Pradesh,CHITTOOR,Arhar/Tur,2003-04,Kharif,8476,Hectare,636,Tonnes,0.075035394
Andhra Pradesh,CHITTOOR,Arhar/Tur,2003-04,Rabi,10,Hectare,1,Tonnes,0.1
Andhra Pradesh,EAST GODAVARI,Arhar/Tur,2001-02,Kharif,1309,Hectare,763,Tonnes,0.582887701
Andhra Pradesh,EAST GODAVARI,Arhar/Tur,2002-03,Kharif,763,Hectare,267,Tonnes,0.349934469
